HD01_VD01,Estimate; Total:
HD01_VD02,Estimate; Income in the past 12 months below poverty level:
HD01_VD03,Estimate; Income in the past 12 months below poverty level: - Male:
HD01_VD04,Estimate; Income in the past 12 months below poverty level: - Male: - Under 5 years
HD01_VD05,Estimate; Income in the past 12 months below poverty level: - Male: - 5 years
HD01_VD06,Estimate; Income in the past 12 months below poverty level: - Male: - 6 to 11 years
HD01_VD07,Estimate; Income in the past 12 months below poverty level: - Male: - 12 to 14 years
HD01_VD08,Estimate; Income in the past 12 months below poverty level: - Male: - 15 years
HD01_VD09,Estimate; Income in the past 12 months below poverty level: - Male: - 16 and 17 years
HD01_VD10,Estimate; Income in the past 12 months below poverty level: - Male: - 18 to 24 years
HD01_VD11,Estimate; Income in the past 12 months below poverty level: - Male: - 25 to 34 years
HD01_VD12,Estimate; Income in the past 12 months below poverty level: - Male: - 35 to 44 years
HD01_VD13,Estimate; Income in the past 12 months below poverty level: - Male: - 45 to 54 years
HD01_VD14,Estimate; Income in the past 12 months below poverty level: - Male: - 55 to 64 years
HD01_VD15,Estimate; Income in the past 12 months below poverty level: - Male: - 65 to 74 years
HD01_VD16,Estimate; Income in the past 12 months below poverty level: - Male: - 75 years and over
HD01_VD17,Estimate; Income in the past 12 months below poverty level: - Female:
HD01_VD18,Estimate; Income in the past 12 months below poverty level: - Female: - Under 5 years
HD01_VD19,Estimate; Income in the past 12 months below poverty level: - Female: - 5 years
HD01_VD20,Estimate; Income in the past 12 months below poverty level: - Female: - 6 to 11 years
HD01_VD21,Estimate; Income in the past 12 months below poverty level: - Female: - 12 to 14 years
HD01_VD22,Estimate; Income in the past 12 months below poverty level: - Female: - 15 years
HD01_VD23,Estimate; Income in the past 12 months below poverty level: - Female: - 16 and 17 years
HD01_VD24,Estimate; Income in the past 12 months below poverty level: - Female: - 18 to 24 years
HD01_VD25,Estimate; Income in the past 12 months below poverty level: - Female: - 25 to 34 years
HD01_VD26,Estimate; Income in the past 12 months below poverty level: - Female: - 35 to 44 years
HD01_VD27,Estimate; Income in the past 12 months below poverty level: - Female: - 45 to 54 years
HD01_VD28,Estimate; Income in the past 12 months below poverty level: - Female: - 55 to 64 years
HD01_VD29,Estimate; Income in the past 12 months below poverty level: - Female: - 65 to 74 years
HD01_VD30,Estimate; Income in the past 12 months below poverty level: - Female: - 75 years and over
HD01_VD31,Estimate; Income in the past 12 months at or above poverty level:
HD01_VD32,Estimate; Income in the past 12 months at or above poverty level: - Male:
HD01_VD33,Estimate; Income in the past 12 months at or above poverty level: - Male: - Under 5 years
HD01_VD34,Estimate; Income in the past 12 months at or above poverty level: - Male: - 5 years
HD01_VD35,Estimate; Income in the past 12 months at or above poverty level: - Male: - 6 to 11 years
HD01_VD36,Estimate; Income in the past 12 months at or above poverty level: - Male: - 12 to 14 years
HD01_VD37,Estimate; Income in the past 12 months at or above poverty level: - Male: - 15 years
HD01_VD38,Estimate; Income in the past 12 months at or above poverty level: - Male: - 16 and 17 years
HD01_VD39,Estimate; Income in the past 12 months at or above poverty level: - Male: - 18 to 24 years
HD01_VD40,Estimate; Income in the past 12 months at or above poverty level: - Male: - 25 to 34 years
HD01_VD41,Estimate; Income in the past 12 months at or above poverty level: - Male: - 35 to 44 years
HD01_VD42,Estimate; Income in the past 12 months at or above poverty level: - Male: - 45 to 54 years
HD01_VD43,Estimate; Income in the past 12 months at or above poverty level: - Male: - 55 to 64 years
HD01_VD44,Estimate; Income in the past 12 months at or above poverty level: - Male: - 65 to 74 years
HD01_VD45,Estimate; Income in the past 12 months at or above poverty level: - Male: - 75 years and over
HD01_VD46,Estimate; Income in the past 12 months at or above poverty level: - Female:
HD01_VD47,Estimate; Income in the past 12 months at or above poverty level: - Female: - Under 5 years
HD01_VD48,Estimate; Income in the past 12 months at or above poverty level: - Female: - 5 years
HD01_VD49,Estimate; Income in the past 12 months at or above poverty level: - Female: - 6 to 11 years
HD01_VD50,Estimate; Income in the past 12 months at or above poverty level: - Female: - 12 to 14 years
HD01_VD51,Estimate; Income in the past 12 months at or above poverty level: - Female: - 15 years
HD01_VD52,Estimate; Income in the past 12 months at or above poverty level: - Female: - 16 and 17 years
HD01_VD53,Estimate; Income in the past 12 months at or above poverty level: - Female: - 18 to 24 years
HD01_VD54,Estimate; Income in the past 12 months at or above poverty level: - Female: - 25 to 34 years
HD01_VD55,Estimate; Income in the past 12 months at or above poverty level: - Female: - 35 to 44 years
HD01_VD56,Estimate; Income in the past 12 months at or above poverty level: - Female: - 45 to 54 years
HD01_VD57,Estimate; Income in the past 12 months at or above poverty level: - Female: - 55 to 64 years
HD01_VD58,Estimate; Income in the past 12 months at or above poverty level: - Female: - 65 to 74 years
HD01_VD59,Estimate; Income in the past 12 months at or above poverty level: - Female: - 75 years and over
