FACTOR,CRIME_TYPE,COUNT,COMMUNITY_AREA,CORRELATION
demo_hd01_vd27,BATTERY,608,0,0.8975486172274024
demo_hd01_vd27,ASSAULT,608,0,0.8885507700229296
demo_hd01_vd01,OTHER NARCOTIC VIOLATION,8,24,0.8746427271894809
demo_hd01_vd01,OTHER NARCOTIC VIOLATION,8,2,0.874374290675196
demo_hd01_vd37,TOTAL,8,18,0.8739684395513841
demo_hd01_vd20,TOTAL,8,47,0.8733943499426884
demo_hd01_vd38,TOTAL,8,59,0.8732074189256529
demo_hd01_vd39,TOTAL,8,59,0.8725020596897631
demo_hd01_vd52,TOTAL,8,59,0.8724095497705276
demo_hd01_vd39,TOTAL,8,5,0.8723631767715714
demo_hd01_vd01,OTHER NARCOTIC VIOLATION,8,17,0.8717417881709679
demo_hd01_vd40,GAMBLING,8,5,0.8713463173631507
demo_hd01_vd56,PROSTITUTION,8,40,0.8708724004515584
demo_hd01_vd14,TOTAL,8,66,-0.8706407684819406
demo_hd01_vd36,TOTAL,8,59,0.870428070177964
demo_hd01_vd41,OTHER NARCOTIC VIOLATION,8,2,0.8702236954943583
demo_hd01_vd38,CRIMINAL DAMAGE,8,19,0.8702000297979587
demo_hd01_vd46,OTHER NARCOTIC VIOLATION,8,2,0.8701282257693657
demo_hd01_vd53,TOTAL,8,18,0.8701117996474741
demo_hd01_vd31,OTHER NARCOTIC VIOLATION,8,2,0.8698548326844853
demo_hd01_vd41,OTHER NARCOTIC VIOLATION,8,24,0.869671509551152
demo_hd01_vd46,OTHER NARCOTIC VIOLATION,8,24,0.8695825053599034
demo_hd01_vd32,OTHER NARCOTIC VIOLATION,8,2,0.8694434344378897
demo_hd01_vd55,OTHER NARCOTIC VIOLATION,8,2,0.8694111020329409
demo_hd01_vd55,OTHER NARCOTIC VIOLATION,8,24,0.8692946631784225
demo_hd01_vd31,OTHER NARCOTIC VIOLATION,8,24,0.8692619935811676
demo_hd01_vd32,OTHER NARCOTIC VIOLATION,8,24,0.8688066934405254
demo_hd01_vd14,TOTAL,8,63,-0.8687052666775112
demo_hd01_vd36,TOTAL,8,5,0.8685017862437577
demo_hd01_vd52,CRIMINAL DAMAGE,8,64,0.8684766348461439
demo_hd01_vd14,PUBLIC PEACE VIOLATION,8,60,-0.8683963774239915
demo_hd01_vd38,TOTAL,8,5,0.8683641579908692
demo_hd01_vd42,PROSTITUTION,8,22,0.8681956265930016
demo_hd01_vd38,CRIMINAL DAMAGE,8,16,0.8681930917666457
